startup_name,year_founded,total_employees,sector,funding_amount_usd_millions,revenue_usd_millions,country,founder_name,notes
Harvey AI,2023,185,Legal Tech,300,48,USA,Gabriel Pereyra,
Sprinter Health,2023,95,Home Healthcare,45,18,USA,Tom Kottler,
Intrepid Labs,2023,34,Drug Formulation,28,4,Canada,Mike Tyers,
Kintsugi Health,2022,52,Mental Health AI,20,7,USA,Grace Chang,
Freenome,2022,380,Cancer Screening,650,89,USA,Gabriel Otte,
Anyfin,2022,145,Consumer Finance,45,32,Sweden,Mikael Hussain,
PhonePe,2022,3200,Digital Payments,850,420,India,Sameer Nigam,
Razorpay,2022,2800,Payment Gateway,740,385,India,Harshil Mathur,
Zepto,2022,1650,Quick Commerce,665,290,India,Aadit Palicha,
Meesho,2022,2100,Social Commerce,570,310,India,Vidit Aatrey,
Licious,2022,1450,Food Delivery,380,195,India,Vivek Gupta,
Urban Company,2022,3500,Home Services,425,215,India,Abhiraj Bhal,
BharatPe,2022,980,Fintech,650,180,India,Ashneer Grover,
Ola Electric,2022,4200,Electric Vehicles,800,520,India,Bhavish Aggarwal,
Dunzo,2022,850,Quick Commerce,470,125,India,Kabeer Biswas,
Rebel Foods,2022,1200,Cloud Kitchens,525,165,India,Jaydeep Barman,
Tractable,2023,215,Computer Vision,185,48,UK,Alex Dalyac,
Monzo,2022,2400,Digital Banking,925,420,UK,Tom Blomfield,
Revolut,2022,8500,Fintech,1700,850,UK,Nikolay Storonsky,
Starling Bank,2022,3200,Digital Banking,650,380,UK,Anne Boden,
Wise,2022,4800,Money Transfer,1100,720,UK,Kristo Käärmann,
Checkout.com,2022,1850,Payment Processing,2300,580,UK,Guillaume Pousaz,
Graphcore,2022,580,AI Chips,710,95,UK,Nigel Toon,
Synthesia,2023,145,AI Video,156,42,UK,Victor Riparbelli,
Stability AI,2023,92,Generative AI,101,18,UK,Emad Mostaque,
Wayve,2023,185,Autonomous Driving,1350,28,UK,Alex Kendall,
Zopa,2022,870,Digital Banking,450,195,UK,Jaidev Janardana,
Zilch,2022,285,Buy Now Pay Later,325,78,UK,Philip Belamant,
SumUp,2022,3400,Payment Processing,1580,625,Germany,Marc-Alexander Christ,
Trade Republic,2022,1250,Investment Platform,900,285,Germany,Christian Hecker,
N26,2022,1850,Digital Banking,1700,320,Germany,Valentin Stalf,
GetYourGuide,2022,780,Travel Tech,850,245,Germany,Johannes Reck,
Wefox,2022,1650,Insurtech,1400,410,Germany,Julian Teicke,
Mambu,2022,650,Banking Software,550,165,Germany,Eugene Danilkis,
Celonis,2022,4200,Process Mining,2800,780,Germany,Bastian Nominacher,
Personio,2022,1850,HR Software,830,245,Germany,Hanno Renner,
Contentful,2022,820,Content Platform,580,195,Germany,Sascha Konietzke,
Infarm,2023,480,Vertical Farming,604,85,Germany,Erez Galonska,
Lilium,2022,950,Electric Aviation,1500,42,Germany,Daniel Wiegand,
FlixBus,2022,3200,Transportation,2100,580,Germany,Jochen Engert,
Tier Mobility,2022,580,E-Scooters,685,125,Germany,Lawrence Leuschner,
Gorillas,2022,840,Quick Commerce,1300,185,Germany,Kagan Sumer,
Auto1 Group,2022,4800,Used Car Platform,1850,3200,Germany,Christian Bertermann,
Grab,2022,9500,Super App,12500,2800,Singapore,Anthony Tan,
Gojek,2022,7200,Super App,8900,2100,Indonesia,Nadiem Makarim,
Tokopedia,2022,5800,E-commerce,7200,1850,Indonesia,William Tanuwijaya,
Bukalapak,2022,3400,E-commerce,1650,650,Indonesia,Achmad Zaky,
Sea Limited,2022,67000,Digital Entertainment,15800,12400,Singapore,Forrest Li,
Lazada,2022,12000,E-commerce,8500,4200,Singapore,Maximilian Bittner,
Nium,2023,650,Cross-border Payments,485,145,Singapore,Prajit Nanu,
Carro,2022,1200,Used Car Platform,850,320,Singapore,Aaron Tan,
PropertyGuru,2022,1850,Real Estate Tech,620,285,Singapore,Steve Melhuish,
Advance.ai,2023,780,AI Risk Management,240,95,Singapore,Jeffrey Tiong,
Kredivo,2022,680,Buy Now Pay Later,370,125,Indonesia,Akshay Garg,
Akulaku,2022,1450,Digital Bank,680,245,Indonesia,William Li,
Halodoc,2022,850,Healthcare Platform,425,145,Indonesia,Jonathan Sudharta,
Alodokter,2022,520,Healthcare Platform,215,78,Indonesia,Nathanael Faibis,
Anteraja,2023,3200,Logistics,485,285,Indonesia,Jacky Cohen,
Shipper,2023,650,Logistics Tech,165,52,Indonesia,Phil Opamuratawongse,
JD.id,2022,4500,E-commerce,2800,1450,Indonesia,Liu Qiangdong,
